"ꢂꢥꢸꢙ꣄ꢛꣁ, ꢂꢥꢸꢪꢡꢶꢦ꣄ꢡ꣄ꢬꢸ","अनुज्ना॑, अनुमति पत्रु",அனுஜ்ஞொ/ அனுமதி பத்ரு,licence,உரிமம்  
"ꢤꢪꢞ꣄ꢠꢵꢬ꣄, ꢣꣁꢮ꣄ꢜꢸꢥꢵꢬ꣄","धमड्णार,दोव्टुनार",த4மட்3ணார்/தொ3வ்டுனார்,driver,ஓட்டுநர்  
ꢏꢠ꣄ꢜ꣄ꢫ ꢦꣁꢔꢸꢮꢵꢜ꣄,आ॑ण्ट्यपोगुवाट,ஒண்ட்ய போகுவாட்,one way traffic,ஒரு வழிப்பாதை    
ꢔꢵꢫ꣄ ꢨꣁꢠ꣄ꢞꢶ,गायबा॑ण्डि,கொ3ருபொ3ண்டி3,bullockcart,மாட்டு வண்டி  
ꢥꣃꢒꣁ,नौका॑,நௌகொ,ship,கப்பல்  
ꢔꢵꢫ꣄ ꢨꣁꢠ꣄ꢞꢶ,गाय बा॑ण्डि,கா3ய் பொ3ண்டி3,,
ꢕꣁꢣꢵ ꢨꣁꢠ꣄ꢞꢶ,घोडा बा॑ण्डि,கொ4டா3பொ3ண்டி3,Horse cart,குதிரைவண்டி  / ஜட்கா
ꢩꢵꢬ꣄ ꢡꢸꢒꢒꢸ꣄ꢥꢵꢬ꣄,भार्तुक्कुनार्,பா4ர் துக்குனார்,porter,கூலி  
ꢩꣁꢠ꣄ꢠꢪ꣄,भा॑ण्णम,பொ4ண்ணம்,goods,சரக்கு  
ꢱꢪꢵꢥ꣄,समान्,ஸமான்,laggage,சாமானம்
"ꢪꢵꢬ꣄ꢔꢸ, ꢬꢾꢱ꣄ꢡꣁ","मार्गु,रेस्ता॑",மார்கு3/ரெஸ்தொ,road,சாலை  / தடம்
ꢫꢵꢡ꣄ꢬꢵ ꢗꢷꢜ꣄,यात्रा चीट,யாத்ரா சீட்,ticket,சீட்டு  
ꢩꢵꢬ꣄ ꢨꣁꢠ꣄ꢞꢶ,भार्बा॑ण्डि,பா4ர்பொ3ண்டி3,lorry,சுமையுந்து  
ꢪꢵꢒ꣄ꢬꢸꢪ꣄,माक्रुम्,மாக்கும்,route,தடம்
ꢣꢠ꣄ꢞꢮꢵꢭꢪ꣄,तण्डवालम,தண்ட3வாளம்,rails,தண்டவாளம்  
ꢗꢭ꣄ꢥꢶ ꢪꢶꢜ꣄ꢜꣁ,च्ल्नि मिट्टा॑,சல்னி மிட்டொ,platform,தளம்  
ꢥꣃꢒꣁ ꢲꢶꢨ꣄ꢨꢥ꣄ꢬꢾꢪ꣄,नौका॑ हिब्बन्रेम,நௌகொ ஹிப்3ப3ன்ரேம்,harbour,துறைமுகம்  
ꢡꣁꢬꢠ꣄ ꢔꢸꢰ꣄ꢜꢶ,ता॑रण गुष्टि,தொரண் கு3ஷ்டி,train,தொடர்வண்டி  
"ꢦꢥ꣄ꢗꢭꢶ, ꢦꢥ꣄ꢗꢭ꣄","पन्चलि, पन्चल",பன்சலி/பன்சல்,boat,தோணி  
ꢭꢵꢜ꣄ꢒꢶꢜ꣄ꢒꢶ,लाट्किट्कि,லாட்கிட்கி,anchor,நங்கூரம்  
ꢗꢭꢞ꣄ꢥꢵꢬ꣄,चलड्नार,சலட்3னார்,conductor,நடத்துநர்  
ꢨꢸꢜꢥ꣄ ꢥꣃ,बुटन नौ,பு3டன்நௌ,submarine,நீர்மூழ்கிக் கப்பல்   
ꢥꢶꢡ꣄ꢡ ꢮꢵꢜ꣄,नित्त वाट,நித்தவாட்,direct route,நேர்வழி  
ꢥꢵꢮ꣄,नाव,நாவ்,boat,படகு  
ꢫꢵꢡ꣄ꢬꣁ,यात्रा॑,யாத்ரொ,journey,பயணம்  
ꢫꢵꢡ꣄ꢬꢶꢒꢸꢥ꣄,यात्रिकुन,யாத்ரிகுன்,passengers,பயணிகள்  
ꢫꢵꢡ꣄ꢬꣁ,यात्रा॑,யாத்ரொ,Journey,பிரயாணம்
ꢫꢵꢡ꣄ꢬꢶꢥ꣄,यात्रिन्,யாத்ரின்,Passenger,பிரயாணிகள்
