ꢆꢪ꣄ꢨ꣄ꢳꢵ ꢚꢵꢜ꣄,उम्ब्ळा झाट्,உம்ப்3ளாஜா2ட்,umbl'aa jhaat',umbLA jhAT,umbl̤ā jhāṭ,umbɭɑː d͡ʒʰɑːʈ,fig tree,அத்தி மரம்   
ꢦꢶꢪ꣄ꢦꢭ꣄ ꢚꢵꢜ꣄,पिम्पल्झाट्,பிம்பள்ஜா2ட்,pimpal jhaat',pimpal jhAT,pimpal jhāṭ,pɪmpəl d͡ʒʰɑːʈ,pipal tree,அரச மரம்   
ꢐꢞ ꢚꢵꢜ꣄,ओडा झाट्,ஓடாஜா2ட்,od'a jhaat',oDa jhAT,oḍa jhāṭ,oːɖə d͡ʒʰɑːʈ,banyan tree,ஆல்  
ꢪꢸꢱꢸꢠ꣄ꢞꢶꢚꢵꢜ꣄,मुसुण्डि झाट्,முஸுண்டி3ஜா2ட்,musund'ijhaat',musuNDijhAT,musuṇḍijhāṭ,mus̪uɳɖɪd͡ʒʰɑːʈ,rosewood, நெட்டி
ꢚꢥ꣄ꢥꢶ,झन्नि,ஜ2ன்னி,jhanni,jhanni,jhanni,d͡ʒʰən̪n̪ɪ,broom,ஈச்சமார்
ꢚꢠ꣄ꢠꢶ,झण्णी,ஜ2ண்ணி,jhanni,jhaNNi,jhaṇṇi,d͡ʒʰəɳɳɪ,broom,ஈச்சமார்
ꢭꢶꢪ꣄ꢨꢸ,लिम्बु,லிம்பு3,limbu,limbu,limbu,lɪmbu,lemon,எலுமிச்சை  
ꢦꢬꢸꢠ꣄ꢞꣁ,प्रुण्डा॑,பருண்டொ3,parund'o',paruNDO,paruṇḍŏ,pəɾuɳɖo,coconut leaf,ஓலை  
ꢦꢶꢒ꣄ꢒꢾ ꢮꢾꢥ꣄ꢥꢸ,पिक्क॑ व॑न्नु,பிக்கெவென்னு,pikke' ve'nnu,pikkE vEnnu,pikkĕ vĕnnu,pɪkke ʋen̪n̪u,ear of crops,கதிர்  
ꢲꢦ꣄ꢦꢭꢸꢚꢵꢜ꣄,हप्पलु झाट,ஹப்பளு ஜா2ட்,happalujhaat',happalujhAT,happalujhāṭ,ɦəppəlud͡ʒʰɑːʈ,arecanut tree,கமுகு  
ꢮꢶꢬ꣄ꢡꢵꢮꢸ ꢦꣁꢱ꣄ꢒꢾ,विर्तावु पा॑स्क॑,விர்தாவு பொஸ்கெ,virtaavu po'ske',virtAvu pOskE,virtāvu pŏskĕ,ʋɪɾt̪ɑːʋu pos̪ke,weed,களை  
ꢒꢾꢬ꣄ꢦꢵꢮꢸ ꢦꢵꢥ꣄,क॑र्पावु पान,கெர்பாவுபான்,ke'rpaavu paan,kErpAvu pAn,kĕrpāvu pān,keɾpɑːʋu pɑːn̪,curry leaf,கறிவேப்பிலை  
ꢱꢵꢓꣁ,साखा॑,ஸாகொ2,saakho',sAkhO,sākhŏ,s̪ɑːkʰo,branch,கிளை/ கொம்பு  
ꢄꢪ꣄ꢨꢸꢳꣁ,इम्बुळा॑,இம்பு3ளொ,imbul'o',imbuLO,imbul̤ŏ,ɪmbuɭo,guava,கொய்யா  
ꢬꢵꢠꢸ ꢆꢳꢵ ꢧꢹꢭ꣄,राणु हुळा फूल्,ராணுஹுளாபூ2ல்,raanu ul'aa phool,rANu uLA phUl,rāṇu ul̤ā phūl,ɾɑːɳu uɭɑː pʰuːl,cassia fistula,கொன்றை  
ꢥꢬꢳꢸ ꢥꢵꢬ꣄,नरळु नार्,நரளுநார்,naral'u naar,naraLu nAr,naral̤u nār,n̪əɾəɭu n̪ɑːɾ,fibre of coconut,தேங்காய் நார்
