ꢏꢥ꣄ꢥꣁ,आ॑न्ना॑,ஒன்னொ (N),beans,அவரைக்காய்  
ꢂꢭ꣄ꢭꣁ,अल्ला॑,அல்லொ (N),ginger,இஞ்சி  
ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄,धुरुळु मूळ,து4ருளு மூள் (N),potato,உருளைக்கிழங்கு  
ꢮꢖ꣄ꢔꢶ,वङ्गि,வங்கி3(N),brinjal,கத்திரிக்காய்  
ꢒꣀꢭꢒꢾꢱꢸꢬ꣄,कैलक॑सुर,கைலகெஸுர்(N),vegetable,காய்கறி  
ꢩꢙ꣄ꢙꢶ,भज्जि,ப4ஜ்ஜி (N),greens,கீரை  
"ꢪꣁꢳ꣄꣄ꢒꢳ꣄꣄, ꢤꢾꢫꢳꣁ","मा॑ळ्कळ, धेय्ळा॑",மொள்கள்/தெ4ய்ளொ(N,ama ranthus,கீரைத்தண்டு  
ꢒꢵꢬꢜ꣄,कारट्,காரட் (N),carrot,கேரட்  
ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ,जिन्नवर॑,ஜின்னவ்ரெ (N),cluster beans,கொத்தவரைக்காய்  
ꢤꢥꢶꢫꣁ,धनिया॑,த4னியொ (N),coriander leaves,கொத்துமல்லிக் கீரை    
ꢱꢾꢒ꣄ꢒꢬ꣄ꢒꢾꢳꢖ꣄ꢔꢸ,स॑क्कर क॑ळङ्गु,ஸெக்கர்கௌங்கு3 (N),sweet potato,சக்கரைவள்ளிக் கிழக்கு    
ꢓꣁꢮ꣄ꢳꣁ,खा॑व्ळा॑,கொ2வ்ளொ (N),ash gourd,சாம்பல் பூசணி   
ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ,जिन्नवर॑,ஜின்னவ்ரெ(N),cluster beans,சீனியவரைக்காய்   
ꢩꣁꢮ꣄ꢳꣁ,भा॑व्ळा॑,பொ4வ்ளொ(N),bottle gourd,சுரைக்காய்  
ꢱꢸꢬꢠ꣄,सुरण,ஸுரண்(N),yam,சேனை  
ꢱꢿꢦꢪꢹꢳ꣄,सेपमूळ,ஸேபமூள் (N),colocasia,சேம்பு  
ꢡꢒ꣄ꢒꢵꢭꢶ,तक्कालि,தக்காளி (N),tomato,தக்காளி  
ꢗꣁꢮ꣄ꢳꣁ,चा॑व्ळा॑,சொவ்ளொ (N),cow pea,தட்டைப்பயிறு  
ꢂꢪ꣄ꢨ꣄ꢳꣁ,अम्ब्ळा॑,அம்ப்3ளொ (N),goose berry,நெல்லிக்காய்  
ꢒꢗ꣄ꢗꢾ ꢪꢶꢬꢶꢒ꣄ꢒꣀꢭꣁ,क्च्च॑मिरिक्कैला॑,கச்செமிரிகைலொ (N),green chilly,பச்சைமிளகாய்  
ꢦꢜ꣄ꢜꢵꢠꢶ,पट्टाणि,பட்டாணி (N),pea,பட்டாணி  
ꢦꣁꢱ꣄ꢒꢵꢫ꣄,पा॑स्काय्,பொஸ்காய் (N),pumpkin,பறங்கிக்காய்  
ꢒꢭ꣄ꢭꣁ,कल्ला॑,கல்லொ(N),bitter  gourd,பாகற்காய்  
ꢮꢣꢸꢥꢵ ꢩꢙ꣄ꢙꢶ,वदुनाभज्जि,வது3னாப4ஜ்ஜி(N),mint,புதினா  
ꢦꣁꢜ꣄ꢔꢸꢭꣁ,पा॑ट्गुला॑,பொட்கு3லொ (N),snake gourd,புடலங்காய்  
ꢒꢵꢭꢶꢧꢶꢳꢮꢬ꣄,कालिफिळवर्,காலிபி2ளவர் (N),cauliflower,பூக்கோசு  
ꢓꢾꢮ꣄ꢭꣁ,खा॑व्ला॑,கொ2வ்லொ (N),pum pkin,பூசனிக்காய்  
ꢭꣁꢱꢥ꣄,ला॑सन,லொஸன் (N),garlic,பூண்டு  
ꢒꣃꢭꢒꢾꢱꢸꢬ꣄,कैलक॑सुर्,கைலகெஸுர் (N),vegetable,மரக்கறி  
ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢶꢳꢖ꣄ꢔꢸ,च॑क्कर्किळङ्गु,ஸெக்கர்கிளங்கு3(N),tapioca,மரச்சீனிக் கிழங்கு   
ꢃꢭ꣄ꢮꢳꢶꢒ꣄ ꢒꢶꢳꢖ꣄ꢒꢸꢮ꣄,आल्वळिक्किळङ्कु,ஆல்வளிக்கிழங்கு,tapioca,மரவள்ளிக் கிழங்கு   
ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ,कच्चम्बा॑,கச்சம்பொ3(N),mango,மாங்காய்  
ꢪꢸꢜ꣄ꢜꣀꢒꣂꢱ꣄,मुट्टैकोस्,முட்டைகோஸ் (N),cabbage,முட்டைகோஸ்  
ꢱꢾꢮ꣄ꢒꢵ ꢒꣀꢭꣁ,स॑व्का कैला॑,ஸெவ்கா கைலொ (N),drumstick,முருங்கைக்காய்  
ꢪꢸꢳꣁ,मुळा॑,முளொ (N),raddish,முள்ளங்கி  
ꢒꢗ꣄ꢗꢾꢒꢾꢳꣁ,कच्चिक॑ळा॑,கச்சிகெளொ (N),unripe plantain,வாழைக்காய்  
"ꢩꢾꢠ꣄ꢞꢶꢒꣀꢭꣁ, ꢂꢔꢱ꣄ꢡꢶꢬ꣄","भ॑ण्डिकैला॑, अगस्तिर",பெ4ண்டி3கைலொ (N)/ அக3ஸ்திர் (N),lady`s finger,வெண்டைக்காய்  
ꢮꢭ꣄ꢒꣁ,वल्का॑,வள்கொ (N),cucumber,வெள்ளரிக்காய்  
