ꢒꢹꢬ꣄ꢪꣁ,कुर्मा॑,கூர்மொ,tortoise,ஆமை  
ꢒꢱ꣄ꢦꣁ,कस्पा॑,கஸ்பொ,tortoise,ஆமை  
ꢡꢪ꣄ꢨꢭ꣄ꢗꢶꢦ꣄ꢦꣁ,तम्बल्चिप्पा॑,தம்ப3ள்சிப்பொ,tortoise,ஆமை  
ꢓꢾꢱꢸꢭꣁ,खेसुला॑,கெ2ஸூலொ,prawn,இறால்  
ꢒꢾꢜ꣄ꢜꢸ ꢱꢵꢦ꣄,क॑ट्टु साप्,கெட்டு ஸாப்,viper (snake),கட்டுவிரியன்  
ꢱꢪꢸꢣ꣄ꢬꢸ ꢒꢱ꣄ꢦꣁ,समुद्रु कस्पा॑,ஸமுத்3ருகஸ்பொ,turtle,கடலாமை  
ꢱꢵꢬ ꢱꢵꢦ꣄,सार साप्,ஸாரஸாப்,a kind of land snake,சாரைப்பாம்பு  
ꢔꢶꢭ꣄ꢒꢵꢫ꣄ꢱꢵꢦ꣄,गिल्काय्साप,கி3ல்காய்ஸாப்,rattle snake,கிலுப்பைப் பாம்பு   
ꢒꣁꢪ꣄ꢨꢬꢶ ꢱꢵꢦ꣄,का॑म्बरि साप्,கொம்ப3ரிஸாப்,Akind of poisonous snake,கொம்பேறிமூர்க்கன்   
ꢱꢷꢦ꣄,सीप्,ஸீப்,Oyster/shell fish,சிப்பி  
ꢩꢹꢒ꣄ ꢱꢾꢥ꣄ꢡꢵ ꢪꢴꢳꢶꢶ,भूक सेन्ता म्हळि,பூ4க் ஸெந்தா ம:ளி,shark,சுறா  
ꢦꣂꢜꢸ ꢙꢵꢭꢸ ꢪꢴꢳꢶ,पोटु जालु म्हळि,போடு ஜாளு ம:ளி,shark,சுறா  
ꢦꢥꢶꢪ꣄ꢱꢵꢦ꣄,पनिम्साप्,பனிம் ஸாப்,water snake,தண்ணீர்ப் பாம்பு   
ꢒꢶꢞꢵ ꢱ꣄ꢢꢶꢡꢶ ꢩꢾꢬ꣄ꢒꢶꢭꢶ,किडा स्थिति भ॑र्कलि,கிடா3 ஸ்தி2தி பெ4ர்களி,Tadpole /larva,தலைப்பிரட்டை/ புழு நிலை தவளை 
ꢩꢾꢬ꣄ꢒꢳꢶ,भ॑र्कळि,பெ4ர்களி,frog,தவளை  
ꢨꢾꢱ꣄ꢒꢳꢶ,ब॑स्कळि,பெ3ஸ்களி,frog,தவளை  
ꢡꢶꢪꢶꢖ꣄ꢔꢭ꣄,तिमिङ्गल,திமிங்க3ல்,whale,திமிங்கலம்  
ꢡꢶꢪꢶꢮꢵꢱꢶ,तिमिवासि,திமிவாஸி,whale,திமிங்கலம்  
ꢮꢶꢒ꣄ꢒꢸ ꢣꢵꢡ꣄,विक्कु दात्,விக்கு தா3த்,poisonous fang of snake,நச்சுப் பல்  
ꢮꢶꢒ꣄ꢔꢸ,विक्गु,விக்கு3,poison,நஞ்சு  
ꢒꢶꢬ꣄ꢮꢶꢭ꣄,किर्विल्,கிர்வில்,crab,நண்டு  
ꢔꢶꢰ꣄꣄ꢭꣂ,गिष्ला॑,கி3ஷ்லொ,snail,நத்தை  
ꢥꢥ꣄ꢱꢵꢦ꣄,नन्साप,நன்ஸாப்,cobra,நாகப்பாம்பு  
ꢱꣁꢒ꣄ꢒꢜ꣄ ꢱꢵꢦ꣄,चोक्कट साप,சொக்கட் ஸாப்,cobra,நாகப்பாம்பு  
ꢦꢥꢶꢪ꣄ ꢱꢸꢥꣁ,पनिम सुना॑,பனிம் ஸுனொ,beaver,நீர்நாய்  
ꢦꢥꢶꢪ ꣄ꢎꢱ꣄ꢡꢸ,पनिम ऐस्तु,பனிம்ஐஸ்து,hippopotamus,நீர்யானை  
ꢥꢶꢳ ꢱꢵꢦ꣄,निळ साप्,நிளஸாப்,green snake,பச்சைப் பாம்பு   
ꢦꣁꢞ꣄ꢔꢾ,पा॑ड्का॑,பொட்3கெ3,hood of a snake,படம்  
ꢱꢵꢦ꣄,साप्,ஸாப்,snake,பாம்பு  
ꢡꣁꢖ꣄ꢔꢬꢸ ꢱꢵꢦ꣄,दा॑ङ्गरु साप,தொ3ங்க3ருஸாப்,python,மலைப்பாம்பு  
ꢪꢴꢳꢶ,म्हळि,ம:ளி,fish,மீன்  
ꢥꢒ꣄ꢬꢸ,नक्रु,நக்ரு,crocodile,முதலை  
ꢮꢶꢒ꣄ꢒꢸ,विक्कु,விக்கு,poison,விஷம்  
ꢦꢵꢰꢵꢠꣁ,पाषाना॑,பாஷாணொ,poison,விஷம்  
