Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢔꢵꢫ꣄,गाय्,கா3ய்,gaay,gAy,gāy,gɑːj,cow,ஆ 
ꢩꢾꢠ꣄ꢞꢸ,भ॑ण्डु,பெ4ண்டு3,bhe'nd'u,bhENDu,bhĕṇḍu,bʰeɳɖu,lamb,ஆடு 
ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄,गाय घा॑रुन्,கா3ய்கொ3ருன்,gaay go'run,gAy gOrun,gāy gŏrun,gɑːj goɾun̪,cattle,ஆடுமாடு 
ꢦꣁꢡꢸꢭꣁ,पा॑दुला॑,பொ3து3லொ,po'tulo',pOtulO,pŏtulŏ,pot̪ulo,bull,எருது 
ꢩꢾꢫ꣄ꢱ꣄,भ॑य्स्,பெ4ய்ஸ்,bhe'ys,bhEys,bhĕys,bʰejs̪,she-buffalo,எருமை 
ꢩꢾꢫ꣄ꢱꢸ꣄ ꢦꣁꢡꢸꢭꣁ ,भ॑य्सुबा॑दुला॑,பெ4ய்ஸுபொ3து3லொ,bhe'ysu po'tulo',bhEysu pOtulO,bhĕys_ŭ pŏtulŏ,bʰejs̪u pot̪ulo,he-buffalo,எருமைக் கடா 
ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,मुयि,முயி,muyi. lo'lpade',muyi. lOlpadE,muyi. lŏlpadĕ,mujɪ. lolpəd̪e,camel,ஒட்டகம் 
ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ,ला॑ल्पड॑,லொல்படெ3,muyi. lo'lpade',muyi. lOlpadE,muyi. lŏlpadĕ,mujɪ. lolpəd̪e,camel,ஒட்டகம் 
ꢦꣁꢡꢸꢭꣁ,बा॑दुला॑,பொ3து3லொ,po'tulo',pOtulO,pŏtulŏ,pot̪ulo,ram,கடா 
ꢕꢾꢣꢞ꣄,घ॑दड,கெ4த3ட்3,ghe'dad',ghEdaD,ghĕdaḍ,gʰed̪əɖ,donkey,கழுதை 
ꢣꢸꢞꣁ,दुडा॑,து3டொ3,dud'o',duDO,duḍŏ,d̪uɖo,calf,கன்று 
ꢮꢵꢱꢬ꣄,वासर,வாஸர்,vaasar,vAsar,vāsar,ʋɑːs̪əɾ,calf,கன்று 
ꢔꣁꢖ꣄ꢔꢸ,गा॑ङगु,கொ3ங்கு3,go'ngu,gOGgu,gŏṅgu,goŋgu,cattle,மந்தை
ꢔꣁꢬꢸ,गा॑रु,கொ3ரு,go'ru,gOru,gŏru,goɾu,ox,காளை 
ꢕꣁꢞꣁ,घा॑डा॑,கொ4டொ3,gho'd'o',ghODO,ghŏḍŏ,gʰoɖo,horse,குதிரை 
ꢒꢷꢱ꣄,कीस्,கீஸ்,kees,kIs,kīs,kiːs̪,monkey,குரங்கு 
ꢦꣁꢭꢥ꣄ꢔꢸ,पा॑लङ्गु,பொலங்கு3,po'langu,pOlangu,pŏlangu,polən̪gu,monkey,குரங்கு 
ꢮꢥ꣄ꢕꢪꢶ,वन्धमि,வந்த4மி,vanghami,vanghami,vanghami,ʋən̪gʰəmɪ,monkey,குரங்கு 
ꢩꢾꢠ꣄ꢞꢸ,भ॑ण्डु,பெ4ண்டு3,bhe'nd'u,bhENDu,bhĕṇḍu,bʰeɳɖu,sheep,குறி / செம்மறி ஆடு
ꢪꢴꢾꢞꢶꢩꢾꢠ꣄ꢞꢸ,न्ह॑डिभ॑ण्डु,மெ:டி3பெ4ண்டு3,mhe'd'ibhe'nd'u,mhEDibhENDu,mhĕḍibhĕṇḍu,mɦeɖɪbʰeɳɖu,sheep,குறி / செம்மறி ஆடு
ꢕꢾꢣꢞꢕꣁꢞꣁ꣄,घ॑दड्घा॑डा॑,கெ4த3ட்3கொ4டொ3,ghe'dad'agho'd'o',ghEdaDaghODO,ghĕdaḍaghŏḍŏ,gʰed̪əɖəgʰoɖo,mule,கோவேறிக் கழுதை 
ꢱꢸꢥꣁ,सना॑,ஸுனொ,suno',sunO,sunŏ,s̪un̪o,dog,நாய் 
ꢔꢵꢫ꣄,गाय्,கா3ய்,gaay,gAy,gāy,gɑːj,cow,பசு 
ꢦꣀꢭ꣄ ꢱꢸꢥꣁ,बैल्शुना॑,பை3ல்ஸுனொ,pail suno',pail sunO,pail sunŏ,pəɪl s̪un̪o,bitch,பட்டி 
ꢣꢸꢒ꣄ꢒꢬ꣄,दुक्कर,து3க்கர்,dukkar,dukkar,dukkar,d̪ukkəɾ,pig,பன்றி 
ꢪꢛ꣄ꢙꢶꢬꢶ,मञजिरि,மஞ்ஜிரி,manjiri,maJjiri,mañjiri,məɲd͡ʒɪɾɪ,cat,பூனை 
ꢔꣁꢬꢸ,गा॑रु,கொ3ரு,go'ru,gOru,gŏru,goɾu,bull,மாடு 
ꢲꢬꢶꢥ꣄,हरिन्,ஹரின்,harin,harin,harin,ɦəɾɪn̪,deer,மான் 
ꢪꢺꢔꣁ,मृगा॑,ம்ருகொ3,mri'go',mRgO,mṛgŏ,mɾɨgo,animal,மிருகம் 
ꢪꢹꢔꢸ,मूगु,மூகு3,moogu,mUgu,mūgu,muːgu,animal,மிருகம் 
ꢯꢯꣁ,शशा॑,ஸஸொ,shasho',zazO,śaśŏ,ʃəʃo,rabbit,முயல் 
ꢓꢸꢥ꣄ꢣꢾꢭ꣄,खुन्द॑ल्,கு2ந்தெ3ல்,khunde'l,khundEl,khundĕl,kʰun̪d̪el,rabbit,முயல் 
ꢦꢵꢭꢥ ꢪꢹꢔꢸ,पालन मूगु,பாலனமூகு3,paalana moogu,pAlana mUgu,pālana mūgu,pɑːlən̪ə muːgu,domestic animal,வீட்டு விலங்கு 
ꢒꣁꢗ꣄ꢗꢶ ꢱꢸꢥꣁ,का॑च्चि सुना॑,கொச்சி ஸுனொ,ko'chchi suno',kOcci sunO,kŏcci sunŏ,kot͡ʃt͡ʃɪ s̪un̪o,hound,வேட்டை நாய் 
ꢓꢿꢜꢸꢱꢸꢥꣁ,खेटु सुना॑,கே2டு ஸுனொ,khet'usuno',kheTusunO,kheṭusunŏ,kʰeːʈus̪un̪o,hound,வேட்டை நாய் 
ꢗꢶꢡ꣄ꢬꢪꢸꢫꢶ,चित्रमुयि,சித்ரமுயி,chitramuyi,citramuyi,citramuyi,t͡ʃɪt̪ɾəmujɪ,giraffe,ஒட்டகச் சிவிங்கி 
ꢆꢒꣁ,उका॑,உகொ,uko',ukO,ukŏ,uko,wolf,ஓநாய் 
ꢮꢺꢒꣁ꣄,वृका॑,வ்ருகொ,vri'ko',vRkO,vṛkŏ,ʋɾɨko,wolf,ஓநாய் 
ꢔꢖ꣄ꢔꢵꢬꢸ,गङगारु,க3ங்கா3ரு,gangaaru,gaGgAru,gaṅgāru,gəŋgɑːɾu,kangaroo,கங்காரு 
ꢗꢶꢡ꣄ꢬꢮꢵꢔ꣄,चित्रवाग्,சித்ரவாக்4,chitravaag,citravAg,citravāg,t͡ʃɪt̪ɾəʋɑːg,leopard,கடுவாய் 
ꢩꢭ꣄ꢭꢸ,भल्लु,ப4ல்லு,bhallu,bhallu,bhallu,bʰəllu,bear,கரடி 
ꢕꢾꢣꢞ꣄ꢮꢵꢔ꣄,घ॑दड्वाग्,கெ4த3ட்3வாக்4,ghe'dad'vaag,ghEdaDvAg,ghĕdaḍvāg,gʰed̪əɖʋɑːg,hyaena,கழுதைப் புலி 
ꢮꢥꢪꢛ꣄ꢙꢶꢬꢶ,वनमञजिरि,வனமஞ்ஜிரி,vanamanjiri,vanamaJjiri,vanamañjiri,ʋən̪əməɲd͡ʒɪɾɪ,wild cat,காட்டுப் பூனை 
ꢮꢥꢪꢹꢔꢸ,वनमूगु,வனமூகு3,vanamoogu,vanamUgu,vanamūgu,ʋən̪əmuːgu,wild animal,காட்டு விலங்கு 
ꢬꢵꢠꢸ ꢩꢾꢫ꣄ꢱ꣄,राणु भ॑य्स्,ராண் பெ4ய்ஸ்,raanu bhe'ys,rANu bhEys,rāṇu bhĕys,ɾɑːɳu bʰejs̪,bison,காட்டெருமை 
ꢥꢥꢡꢸꢬ꣄꣄ ꢓꣁꢭꣁ,तन्तुर्का॑ला॑,தந்துர் கொ2லொ,nanatur kho'lo',nanatur khOlO,nanatur khŏlŏ,n̪ən̪ət̪uɾ kʰolo,jackal,குள்ள நரி 
ꢄꢱ꣄ꢪ꣄ꢪꣁ,सिम्मा॑,ஸிம்மொ,ismmo',ismmO,ismmŏ,ɪs̪mmo,lion,சிங்கம் 
ꢱꢶꢪ꣄ꢲꢸ,शिम्हु,ஸிம்ஹு,simhu,simhu,simhu,s̪ɪmɦu,lion,சிங்கம் 
ꢡꢬꢒ꣄ꢰꢹ,तरक्षु,தரக்ஷு,tarakshoo,tarakSU,tarakṣū,t̪əɾəkʂuː,leopard,சிறுத்தை 
ꢓꣁꢭꣁ,खा॑ला॑,கொ2லொ,kho'lo',khOlO,khŏlŏ,kʰolo,fox,நரி 
ꢮꢵꢔ꣄,वाग्,வாக்3,vaag,vAg,vāg,ʋɑːg,tiger,புலி 
ꢪꢾꢥꢶꢒꢸ ꢒꢷꢱ꣄,म॑निकु कीस्,மெனிகு கீஸ்,me'niku kees,mEniku kIs,mĕniku kīs,men̪ɪku kiːs̪,gorilla,மனிதக் குரங்கு 
