Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,angam,aGgam,aṅgam,əŋgəm,organ,அங்கம்  
ꢨꢵꢣꢪ꣄,पादम्,பாத3ம்,baadam,bAdam,bādam,bɑːd̪əm,sole,அடி  
ꢲꢶꢬꢶꢞꢶ,हिरिडि,ஹிரிடி3,hirid'i,hiriDi,hiriḍi,ɦɪɾɪɖɪ,palate,அண்ணம்  
ꢦꣁꢒ꣄ꢒꢭ꣄,पा॑क्कल्,பொக்கல்,po'kkal,pOkkal,pŏkkal,pokkəl,hip,அரை  
ꢣꣀꢬ ꢲꢵꢡ꣄,दैरहात,தை3ரஹாத்,daira haat,daira hAt,daira hāt,d̪əɪɾə ɦɑːt̪,left hand,இடக்கை  
ꢣꢒꢸꢥ ꢲꢵꢡꢶ,दकुनहात,த3குனஹாத்,dakuna haati,dakuna hAti,dakuna hāti,d̪əkun̪ə ɦɑːt̪ɪ,left hand,இடக்கை  
ꢒꢿꢜ꣄,केट्,கேட்,ket',keT,keṭ,keːʈ,waist,இடுப்பு  
ꢔꢸꢠ꣄ꢞꣁ,गुण्ड॑,கு3ண்டெ3,gund'o',guNDO,guṇḍŏ,guɳɖo,heart,இதயம்  
ꢬꣁꢦ꣄ꢦꣁ,रा॑प्पा॑,ரொப்பொ,ro'ppo',rOppO,rŏppŏ,ɾoppo,eyelash,இமை  
ꢬꢾꢔꢡ꣄,र॑गत्,ரெக3த்,re'gat,rEgat,rĕgat,ɾegət̪,blood,இரத்தம்  
ꢲ꣄ꢬꢸꢣꢫꢸ,ह्रुदयु,ஹ்ருத3யு,hrudayu,hrudayu,hrudayu,ɦɾud̪əju,heart,இருதயம்  
ꢔꢸꢠ꣄ꢞꢾ,गुण्ड॑,கு3ண்டெ3,gund'e',guNDE,guṇḍĕ,guɳɖe,heart,இருதயம்  
ꢔꢸꢠ꣄ꢞꢾ,गुण्ड॑,,gund'e',guNDE,guṇḍĕ,guɳɖe,heart,இருதயம்  
ꢡꢶꢳ꣄꣄ꢙꢶ,तिळ्जि,தி2ள்ஜி,til'ji,tiLji,til̤ji,t̪ɪɭd͡ʒɪ,liver,ஈரல்  
ꢲ꣄ꢬꢸꢞꢶ,ह्रुडि,ஹ்ருடி3,hrud'i,hruDi,hruḍi,ɦɾuɖɪ,gum,ஈறு  
ꢡꢳꢸ,तळु,தளு,tal'u,taLu,tal̤u,t̪əɭu,crown,உச்சி  
ꢃꢖ꣄ꢒꢸ,आङकु,ஆங்கு3,aanku,AGku,āṅku,ɑːŋku,body,உடம்பு  
ꢱꢾꢬꢶꢬ꣄,सेरिर,ஶெரிர்,se'rir,sErir,sĕrir,s̪eɾɪɾ,body,உடம்பு  
ꢡꢥꢸ,तनु,தனு,tanu,tanu,tanu,t̪ən̪u,body,உடம்பு  
ꢃꢖ꣄ꢔꢸ,आङगु,ஆங்கு3,aangu,AGgu,āṅgu,ɑːŋgu,body,உடம்பு  
ꢲꣂꢜ꣄,होट,ஹோட்,hot',hoT,hoṭ,ɦoːʈ,lip,உதடு  
ꢲꢸꢜ꣄ꢜꣁ,हुट्टा॑,ஹுட்டொ,hut't'o',huTTO,huṭṭŏ,ɦuʈʈo,saliva,உமிழ்நீர்  
