Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢆꢦ꣄ꢨꢸवꣁ,उम्बुळा॑,உம்பு3ளொ,upbuवo',upbuवO,upbuवŏ,upbuवo,fig,அத்திப்பழம்  
ꢧꣁꢥ꣄ꢥꢶꢱꢸ ꢦꣁ꣄ꢳ꣄ꢳꣁ,फ॑न्निसुपा॑ळ्ळा॑,பொ2ன்னிஸுபொள்ளொ,pho'nnisu po'l'l'o',phOnnisu pOLLO,phŏnnisu pŏl̤l̤ŏ,pʰon̪n̪ɪs̪u poɭɭo,a kind of small jack fruit,அயினிச் சக்கை   
ꢚꢵꢞꢸꢦꣁꢳ꣄ꢳꣁ,झाडुपा॑ळ्ळा॑,ஜா2டு3பொள்ளொ,jhaad'upo'l'l'o',jhADupOLLO,jhāḍupŏl̤l̤ŏ,d͡ʒʰɑːɖupoɭɭo,pineapple,அன்னாசி  
ꢃꢦ꣄ꢦꢳ꣄,आप्पिळ,ஆப்பிள்,aappal',AppaL,āppal̤,ɑːppəɭ,apple,ஆப்பிள்  
ꢃꢬꢛ꣄ꢙꢶ,आरञ्जि,ஆரஞ்ஜி,aaranji,AraJji,ārañji,ɑːɾəɲd͡ʒɪ,orange,ஆரஞ்சு  
ꢨꣂꢬꢸ ꢦꣁꢳ꣄ꢳꣁ,बा॑रुपा॑ळ्ळा॑,போ3ருபொள்ளொ,boru po'l'l'o',boru pOLLO,boru pŏl̤l̤ŏ,boːɾu poɭɭo,Indian cherry,இலந்தைப் பழம்   
ꢦꢾꢬ꣄ꢗ꣄ꢗꢪ꣄ꢦꣁꢳ꣄ꢳꣁ,प॑र्च्चर्पा॑ळ्ळा॑,பெச்சம் பொள்ளொ,pe'rchchampo'l'l'o',pErccampOLLO,pĕrccampŏl̤l̤ŏ,peɾt͡ʃt͡ʃəmpoɭɭo,date fruit,ஈச்சம் பழம்
ꢒꢫ꣄ꢭꣁ,कय्ला॑,கய்லொ,kaylo',kaylO,kaylŏ,kəjlo,unriped fruit,காய்  
ꢗꢶꢦ꣄ꢦꣁ,चिप्पा॑,சிப்பொ,chippo',cippO,cippŏ,t͡ʃɪppo,coconut shell,கொட்டங்கச்சி  
ꢒꣁꢜ꣄ꢜꢾ,का॑ट्ट॑,கொட்டெ,ko't't'e',kOTTE,kŏṭṭĕ,koʈʈe,nut,கொட்டை  
