Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,chickenpox,அம்மை  
ꢓꢮ꣄ꢙꢵꢮ꣄,खव्जाव,க2வ்ஜாவ்,khavjaav,khavjAv,khavjāv,kʰəʋd͡ʒɑːʋ,itching,அரிப்பு  
ꢓꢵꢱ꣄,खास,கா2ஸ்,khaas,khAs,khās,kʰɑːs̪,itching,அரிப்பு  
ꢗꢶꢥꢲꢸ,चिनहु,சின்ஹு,chinahu,cinahu,cinahu,t͡ʃɪn̪əɦu,sign,அறிகுறி  
ꢧꢜꢶꢥꢶ,फटिनि,ப2டினி,phat'ini,phaTini,phaṭini,pʰəʈɪn̪ɪ,operation,அறுவை  
ꢂꢙꢷꢬ꣄ꢥꢸ,अजीर्णु,அஜீர்ணு,ajeernu,ajIrnu,ajīrnu,əd͡ʒiːɾn̪u,indigestion,அஜீரணம்  
ꢱꣃꢒ꣄ꢫꢪ꣄,सौक्यम्,ஸௌக்யம்,saukyam,saukyam,saukyam,s̪əukjəm,health,ஆரோக்கியம்  
ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ,अस्पत्तिरि,அஸ்பத்திரி,aspattiri,aspattiri,aspattiri,əs̪pət̪t̪ɪɾɪ,hospital,ஆஸ்பத்திரி  
ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ,आसु भद्रि,ஆஸு ப4த்3ரி,aasu bhadri,Asu bhadri,āsu bhadri,ɑːs̪u bʰəd̪ɾɪ,hospital,ஆஸ்பத்திரி  
ꢓꣁꢮ꣄ꢭꣁ,खा॑व्ला॑,கொ2வ்லொ,kho'vlo',khOvlO,khŏvlŏ,kʰoʋlo,cough,இருமல்  
ꢱꢮ꣄ꢬꢶꢫꢪ꣄,सव्रियम्,ஸௌரியம்,savriyam,savriyam,savriyam,s̪əʋɾɪjəm,health,உடல் நலம்   
ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄,क॑ण्टापील्,கெண்டாபீள்,ke'nt'aapeel,kENTApIl,kĕṇṭāpīl,keɳʈɑːpiːl,sprain,சுளுக்கு  
ꢄꢥ꣄ꢒꢶꢥꢶ,इन्किनि,இண்கினி,inkini,inkini,inkini,ɪn̪kɪn̪ɪ,sprain,சுளுக்கு  
ꢓꢵꢱ꣄,खास्,கா2ஸ்,khaas,khAs,khās,kʰɑːs̪,itching,ஊரல்  
ꢩꢸꢬꢸꢩꢸꢬꢵꢭ꣄,भुरुभुराल,பு4ருபு4ரால்,bhurubhuraal,bhurubhurAl,bhurubhurāl,bʰuɾubʰuɾɑːl,itching,ஊரல்  
ꢦꢬꢸꢒꢾꢬ꣄ꢥꢶ,परुक॑र्नि,பருகெர்னி,paruke'rni,parukErni,parukĕrni,pəɾukeɾn̪ɪ,reaction,எதிர்விளைவு  
ꢙꢵꢳ꣄,जाळ,ஜாள்,jaal',jAL,jāl̤,d͡ʒɑːɭ,burning ,எரிச்சல்  
ꢲꢜ꣄ꢒꣁ ꢪꢸꢞꢶꢥꢶ,हट्का॑ मुडिनि,ஹட்கொ முடி3னி,hat'ko' mud'ini,haTkO muDini,haṭkŏ muḍini,ɦəʈko muɖɪn̪ɪ,fracture,எலும்பு முறிவு   
ꢲꣁꢥꢵꢱ꣄ꢡꢾ,होनास्ते,ஹோனாஸ்தே,ho'naaste',hOnAstE,hŏnāstĕ,ɦon̪ɑːs̪t̪e,allergy,ஒவ்வாமை
ꢗꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ,च॑र्नास्ते,செர்னாஸ்தே,che'rnaaste',cErnAstE,cĕrnāstĕ,t͡ʃeɾn̪ɑːs̪t̪e,allergy,ஒவ்வாமை
ꢤꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ,ध॑र्नास्ते,தெ4ர்னாஸ்தே,dhe'rnaaste',dhErnAstE,dhĕrnāstĕ,d̪ʰeɾn̪ɑːs̪t̪e,allergy,ஒவ்வாமை
ꢮꢪꢶ,वमि,வமி,vami,vami,vami,ʋəmɪ,vomitting,கக்கல்  
ꢏꢔꢬꢶ,आ॑गरि,ஒக3ரி,o'gari,Ogari,ŏgari,ogəɾɪ,vomitting,கக்கல்  
ꢮꢵꢥ꣄ꢣꢶ,वान्दि,வாந்தி3,vaandi,vAndi,vāndi,ʋɑːn̪d̪ɪ,vomitting,கக்கல்  
ꢬꢾꢔꢡ꣄ ꢔꢾꢳ꣄꣄ꢥꢶ,र॑गत ग॑ळ्नि,ரெக3த் கெ3ள்னி,re'gat ge'l'ni,rEgat gELni,rĕgat gĕl̤ni,ɾegət̪ geɭn̪ɪ,bleeding,ரத்தகசிவு  
ꢣꣁꢳꢵ ꢣꢸꢮ꣄ꢥꣁ,दोळा दुव्नो,தொ3ளா து3வ்னொ,do'l'aa duvno',dOLA duvnO,dŏl̤ā duvnŏ,d̪oɭɑː d̪uʋn̪o,pink-eye,கண்வலி  
ꢔꢾꢬꢳ꣄,गेरळ,கெ3ரள்,ge'ral',gEraL,gĕral̤,geɾəɭ,phlegm,கபம்  
ꢔꢬ꣄ꢩꢸ ꢲꢵꢥꢶ,गर्भु हानि,க3ர்பு4 ஹானி,garbhu haani,garbhu hAni,garbhu hāni,gəɾbʰu ɦɑːn̪ɪ,abortion,கருச்சிதைப்பு  
ꢔꢬ꣄ꢩꢸ ꢥꢶꢬꣁꢣ꣄,गर्भु निरोद,க3ர்பு4நிரோத்3,garbhu niro'd,garbhu nirOd,garbhu nirŏd,gəɾbʰu n̪ɪɾod̪,contraception,கருத்தடை  
ꢭꢮꢥ꣄ ꢲꣁꢔꢡ꣄,लवन हा॑गत्,லவன்ஹொக3த்,lavan ho'gat,lavan hOgat,lavan hŏgat,ləʋən̪ ɦogət̪,ointment,களிம்பு  
ꢱꢷꢥ꣄,सीन्,ஸீன்,seen,sIn,sīn,s̪iːn̪,fatigue,களைப்பு  
ꢲꢜ꣄ꢒꣂ ꢡꢶꢙꢫ꣄ꢥꢶ,हट्का॑ तिजय्नि,ஹட்கொதி3ஜய்னி,hat'ko tijayni,haTko tijayni,haṭko tijayni,ɦəʈkoː t̪ɪd͡ʒəjn̪ɪ,tuberculosis,காசநோய்  
ꢒꢵꢥꢸ꣄ ꢣꢸꢮ꣄ꢥꣁ,कानु दुव्ना॑,கானுது3வ்னொ,kaanu duvno',kAnu duvnO,kān_ŭ duvnŏ,kɑːn̪u d̪uʋn̪o,ear ache,காதுவலி  
ꢒꢪꢵꢭ꣄,कमाल्,கமால்,kamaal,kamAl,kamāl,kəmɑːl,jaundice,காமாலை  
ꢃꢖ꣄ꢔꢸ ꢲꢸꢥ꣄ꢥꣁ,आङगु हुन्ना॑,ஆங்கு3ஹுன்னொ,aangu hunno',AGgu hunnO,āṅgu hunnŏ,ɑːŋgu ɦun̪n̪o,fever,காய்ச்சல்  
ꢡꢵꢦ꣄,ताप,தாப்,taap,tAp,tāp,t̪ɑːp,fever,காய்ச்சல்  
ꢦꢵꢄ~  ꢃꢠꢶ,पाइ~ आणि,பாஇ~ஆணி,paai~  aani,pAi~  ANi,pāi~  āṇi,pɑːɪ~  ɑːɳɪ,corns,காலாணி  
ꢒꢺꢪꢶ ꢥꢵꢱꢶꢥꢶ,कृमि नासिनि,க்ருமிநாஸினி,kri'mi naasini,kRmi nAsini,kṛmi nāsini,kɾɨmɪ n̪ɑːs̪ɪn̪ɪ,anti septic,கிருமிநாசினி  
ꢦꢶꢱꣁ,पिसा॑,பிஸொ,piso',pisO,pisŏ,pɪs̪o,lunacy,கிறுக்கு  
ꢂꢥ꣄ꢡ꣄ꢬꢵꢪꢸ ꢓꢙ꣄ꢙꢸ,अन्त्रामु खज्जु,அந்த்ராமுக2ஜ்ஜு,antraamu khajju,antrAmu khajju,antrāmu khajju,ən̪t̪ɾɑːmu kʰəd͡ʒd͡ʒu,ulcer,குடற்புண்  
ꢮꢵꢪꢶ,वामि,வாமி,vaami,vAmi,vāmi,ʋɑːmɪ,nausea,குமட்டல்  
ꢏꢔꢬꢶ,आ॑गरि,ஒக3ரி,o'gari,Ogari,ŏgari,ogəɾɪ,nausea,குமட்டல்  
ꢔꣁꢳꢶ,गा॑ळि,கொ3ளி,go'l'i,gOLi,gŏl̤i,goɭɪ,"tablet, pill",குளிகை  
ꢦꢷꢦ꣄,पीप्,பீப்,peep,pIp,pīp,piːp,puss,"சலம், சீழ்    "
ꢦꣁꢜ꣄ꢱꢾ,पा॑ट्स॑,பொட்ஸெ,po't'se',pOTsE,pŏṭsĕ,poʈs̪e,cold,சளி  
ꢱꢶꢒꢶꢡ꣄ꢱꣁ,चिकित्सा॑,சிகித்ஸொ,sikitso',sikitsO,sikitsŏ,s̪ɪkɪt̪s̪o,treatment,சிகிச்சை  
ꢓꢙ꣄ꢙꢸ,खज्जु,க2ஜ்ஜு,khajju,khajju,khajju,kʰəd͡ʒd͡ʒu,scabies,சிரங்கு  
ꢣꢾꢮꢶ,द॑वि,தெ3வி,de'vi,dEvi,dĕvi,d̪eʋɪ,small pox,சின்னம்மை  
ꢪꢭꢦ꣄ꢬꢮꢵꢲꢪ꣄,मलप्रवाहम्,மலப்ரவாஹம்,malapravaaham,malapravAham,malapravāham,mələpɾəʋɑːɦəm,dysentery,சீதபேதி  
ꢦꢷꢦꢸ ꢔꢾꢞ꣄ꢞꣁ,पीपु ग॑ड्डा॑,பீபு கெ3ட்3டொ3,peepu ge'd'd'o',pIpu gEDDO,pīpu gĕḍḍŏ,piːpu geɖɖo,abscess,சீழ்க்கட்டி  
ꢄꢠ꣄ꢒꢶꢥꢶ,इण्किनि,இண்கினி,inkini,iNkini,iṇkini,ɪɳkɪn̪ɪ,sprain,சுளுக்கு  
ꢱꢾꢮꢒꢷ,सेवकी,ஸேவகீ,se'vakee,sEvakI,sĕvakī,s̪eʋəkiː,nurse,செவிலி  
ꢱꢸꢱ꣄ꢬꢸꢱꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,सुस्रुसा॑ क॑र्नार,ஸுஸ்ருஸொ கெர்னார்,susruso' ke'rnaar,susrusO kErnAr,susrusŏ kĕrnār,s̪us̪ɾus̪o keɾn̪ɑːɾ,nurse,செவிலி  
ꢓꢵꢱ꣄ꢦꣁꢜ꣄ꢜꢸ,खासपा॑ट्टु,கா2ஸுபொட்டு,khaaspo't't'u,khAspOTTu,khāspŏṭṭu,kʰɑːs̪poʈʈu,scabies,சொறி  
ꢓꢵꢱ꣄ꢓꢙ꣄ꢙꢸ,खास्खज्जु,கா2ஸ்க2ஜ்ஜு,khaaskhajju,khAskhajju,khāskhajju,kʰɑːs̪kʰəd͡ʒd͡ʒu,scabies,சொறி சிரங்கு   
ꢧꢸꢔ꣄ꢥꢶ,फुग्नि,பு2க்3னி,phugni,phugni,phugni,pʰugn̪ɪ,"hives, swelling",தடிப்பு  
ꢙꢵꢒ꣄ꢬꢡ ꢱꢶꢮꢶ ꢲꣁꢒꢡ꣄,जाक्रत सिवि हा॑कत्,ஜாக்ரத ஸிவி ஹொக3த்,jaakrata sivi ho'kat,jAkrata sivi hOkat,jākrata sivi hŏkat,d͡ʒɑːkɾət̪ə s̪ɪʋɪ ɦokət̪,preventive injections,தடுப்பு ஊசி   
ꢙꢵꢒ꣄ꢬꢡ ꢲꣁꢒꢡ꣄,जाक्रत हा॑कत्,ஜாக்ரதஹொகத்,jaakrata ho'kat,jAkrata hOkat,jākrata hŏkat,d͡ʒɑːkɾət̪ə ɦokət̪,vaccine,தடுப்பு மருந்து   
ꢣꣁꢱ꣄ꢒꢵ ꢣꢸꢮ꣄ꢥꣁ,ता॑स्का दुव्ना॑,தொ3ஸ்காது3வ்னொ,do'skaa duvno',dOskA duvnO,dŏskā duvnŏ,d̪os̪kɑː d̪uʋn̪o,headache,தலைவலி  
ꢱꢶꢔꢶꢬ꣄,सिगिर्,ஸிகி3ர்,sigir,sigir,sigir,s̪ɪgɪɾ,sneezing,தும்மல்  
ꢱꢶꢔꢸꢬ꣄,सिगुर्,ஸிகு3ர்,sigur,sigur,sigur,s̪ɪguɾ,sneezing,தும்மல்  
ꢱꢷꢒ꣄,सीक,ஸீக்,seek,sIk,sīk,s̪iːk,sneezing,தும்மல்  
ꢱꢶꢮ꣄ꢥꢶ,सिव्नि,ஸிவ்னி,sivni,sivni,sivni,s̪ɪʋn̪ɪ,suture,தையல்  
ꢡꢾꢫ꣄ꢭ꣄,त॑य्ल,தெய்ல்,te'yl,tEyl,tĕyl,t̪ejl,medicated oil,தைலம்  
ꢬꣁꢔ꣄ ꢦꢾꢬ꣄ꢦꢶꢥꢶ,रोग प॑र्पिनि,ரோக்3பெர்பினி,ro'g pe'rpini,rOg pErpini,rŏg pĕrpini,ɾog peɾpɪn̪ɪ,infection,தொற்று  
ꢤꢾꢭ꣄ꢥꢶ ꢮ꣄ꢫꢵꢤꢶ,ध॑ल्नि व्याधि,தெ4ல்னிவ்யாதி4,dhe'lni vyaadhi,dhElni vyAdhi,dhĕlni vyādhi,d̪ʰeln̪ɪ ʋjɑːd̪ʰɪ,contagious disease,தொற்று நோய்   
ꢒꢾꢠ꣄ꢞꢵ ꢬꣂꢒ꣄,क॑ण्डा रोग,கெண்டா3 ரோக்3,ke'nd'aa rok,kENDA rok,kĕṇḍā rok,keɳɖɑː ɾoːk,skin disease,தோல் நோய்   
ꢱꢾꢒ꣄ꢒꢬꢸ ꢒꣁꢳꢵꢬ꣄,स॑क्करुकोळार्,ஸெக்கருகொளார்,se'kkaru ko'l'aar,sEkkaru kOLAr,sĕkkaru kŏl̤ār,s̪ekkəɾu koɭɑːɾ,diabetes,நீரிழிவு  
ꢮꢶꢫꢵꢣꢶꢱ꣄ꢢꢸ,वियादिस्थु,வியாதி3ஸ்து2,viyaadisthu,viyAdisthu,viyādisthu,ʋɪjɑːd̪ɪs̪t̪ʰu,patient,நோயாளி  
ꢬꣂꢔꢶ,रोगि,ரோகி3,rogi,rogi,rogi,ɾoːgɪ,patient,நோயாளி  
ꢬꣂꢔ꣄ ꢔ꣄ꢬꢱ꣄ꢡꢶ,रोग ग्रस्ति,ரோக்3க்3ரஸ்தி,rog grasti,rog grasti,rog grasti,ɾoːg gɾəs̪t̪ɪ,patient,நோயாளி  
ꢣꢸꢮ꣄ꢥꣁ,दुव्ना॑,து3வ்னொ,duvno',duvnO,duvnŏ,d̪uʋn̪o,pain,நோவு  
ꢦꢬ꣄ꢱ ꢮꢵꢫꢸ,पर्सवायु,பர்ஸவாயு,parsa vaayu,parsa vAyu,parsa vāyu,pəɾs̪ə ʋɑːju,paralysis,பக்கவாதம்  
ꢦꢵꢬ꣄ꢱ꣄ꢮ ꢮꢵꢫꢸ,पार्स्व वायु,பார்ஸ்வவாயு,paarsva vaayu,pArsva vAyu,pārsva vāyu,pɑːɾs̪ʋə ʋɑːju,paralysis,பக்கவாதம்  
