Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢨꢾꢫ꣄,ब॑य्,பெ3ய்,be'y,bEy,bĕy,bej,elder sister,அக்கா  
ꢣꢣꣁ,ददा॑,த3தொ3,dado',dadO,dadŏ,d̪əd̪o,elder brother,அண்ணன்  
ꢩꢮꢶ,भवि,ப4வி,bhavi,bhavi,bhavi,bʰəʋɪ,elder brother’s wife,அண்ணி  
ꢩꢮꣁ,भवा॑,ப4வொ,bhavo',bhavO,bhavŏ,bʰəʋo,brother in law,அத்தான்  
ꢧꢸꢄ~,फुइ~,பு2இ~,phui~,phui~,phui~,pʰuɪ~,aunty,அத்தை  
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,father’s mother,அப்பத்தா  
ꢨꣂ,बो,போ3,bo,bo,bo,boː,father,அப்பா  / தந்தை தகப்பன்
ꢨꢵꢦ꣄,बाप्,பா3ப்,baap,bAp,bāp,bɑːp,father,அப்பா  / தந்தை தகப்பன்
ꢂꢪ꣄ꢨꣁ,अम्बा॑,அம்பொ3,ambo',ambO,ambŏ,əmbo,mother,அம்மா /அன்னை
ꢂꢙ꣄ꢙꢶ,अज्जि,அஜ்ஜி,ajji,ajji,ajji,əd͡ʒd͡ʒɪ,mother`s mother,அம்மாச்சி / ஆச்சி
ꢂꢙ꣄ꢙꢶ ꢂꢪ꣄ꢨꣁ,अज्जि अम्बा॑,அஜ்ஜிஅம்பொ3,ajji ambo',ajji ambO,ajji ambŏ,əd͡ʒd͡ʒɪ əmbo,grand mother`s mother,ஆத்தா  
ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄,काम क॑र्त्तिन्,காம் கெர்த்தின்,kaam ke'rttin,kAm kErttin,kām kĕrttin,kɑːm keɾt̪t̪ɪn̪,Care taker,ஆயா
ꢱꢾꢥ꣄ꢡꣁꢙꢶꢥ꣄,स॑न्ता॑जिन,ஸெந்தொஜின்,se'nto'jin,sEntOjin,sĕntŏjin,s̪en̪t̪od͡ʒɪn̪,brothers and sisters,உடன் பிறப்புகள்
ꢨꣀꢨꢾꢫ꣄ꢥꢾꢥ꣄,भै भेय्न॑न,பை4 பெ4ய்னென்,baibe'yne'n,baibEynEn,baibĕynĕn,bəɪbejn̪en̪,brothers and sisters,உடன் பிறப்புகள்
