Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢮ꣄ꢒꣁ,हव्का॑,ஹவ்கொ,avko',avkO,avkŏ,əʋko,laddle,அகப்பை  
ꢩꢮ꣄ꢥꢱ꣄,भव्नस्,ப4வ்னஸ்,bhavnas,bhavnas,bhavnas,bʰəʋn̪əs̪,kitchen,அடுக்களை  
ꢩꢮ꣄ꢥꢱ꣄,भव्नस्,ப4வ்னஸ்,bhavnas,bhavnas,bhavnas,bʰəʋn̪əs̪,hearth,அடுப்பங்கரை  
ꢗꢸꢭ꣄ꢭꣁ,चुल्ला॑,சுல்லொ,chullo',cullO,cullŏ,t͡ʃullo,oven,அடுப்பு  
ꢚꢫ꣄ꢥꣁ,झय्ना॑,ஜ2ய்னொ,jhayno',jhaynO,jhaynŏ,d͡ʒʰəjn̪o,lid,அடைப்பு  
ꢂꢠ꣄ꢞꣁ,हण्डा॑,ஹண்டொ3,and'o',aNDO,aṇḍŏ,əɳɖo,big copper vessel for storing water,அண்டா  
ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢣꢾꢫ꣄ꢞꣁ,अप्पुडालु द॑य्डा॑,அப்புடா3லு தெ3ய்டொ3,appud'aalu de'yd'o',appuDAlu dEyDO,appuḍālu dĕyḍŏ,əppuɖɑːlu d̪ejɖo,a stone or wooden plank to prepare papad,அப்பளக் கல்   
ꢂꢦ꣄ꢦꢸꢞꢵꢭꢸ ꢒꢾꢜ꣄ꢜꢾ,अप्पुडालु क॑ट्ट॑,அப்புடா3லு கெட்டெ,appud'aalu ke't't'e',appuDAlu kETTE,appuḍālu kĕṭṭĕ,əppuɖɑːlu keʈʈe,a rolar to prepare papad,அப்பளக் குழவி   
ꢦꢜꣁ,पटा॑,படொ,pat'o',paTO,paṭŏ,pəʈo,crushing stone,அம்மி  
ꢮꢳꢶ,विळि,விளி,val'i,vaLi,val̤i,ʋəɭɪ,a vertical knife to cut vegetables,அரிவாள் மணை   
ꢲꣁꢔꢭ꣄,होगल्,ஹொக3ள்,ho'gal,hOgal,hŏgal,ɦogəl,grinding stone,ஆட்டுக்கல்  
ꢮꢵꢦ꣄,वाप्,வாப்,vaap,vAp,vāp,ʋɑːp,steam,ஆவி  
ꢧꢭꢵꢬꢸ ꢲꢠ꣄ꢞꣁ,फलारु हण्डा॑,ப2லாரு ஹண்டொ3,phalaaru hand'o',phalAru haNDO,phalāru haṇḍŏ,pʰəlɑːɾu ɦəɳɖo,a vessal to (steam) prepare idli,"இட்டலிக் குட்டுவம், கொப்பறை   "
ꢧꢭꢵꢬꢸ ꢡꢾꢜ꣄ꢜꣁ,फलारु त॑ट्टा॑,ப2லாருதெட்டொ,phalaaru te't't'o',phalAru tETTO,phalāru tĕṭṭŏ,pʰəlɑːɾu t̪eʈʈo,a plate like vessal to prepare idli,இட்டலித் தட்டு   
ꢄꢜ꣄ꢒꢶ,इट्कि,இட்கி,it'ki,iTki,iṭki,ɪʈkɪ,tongs,இடுக்கி  
ꢭꢴꣁꢒꢠꢸ ꢦꣁꢳꣁ,ल्हा॑गणु पा॑ळा॑,லொ:க3ணு பொளொ,lho'kanu po'l'o',lhOkaNu pOLO,lhŏkaṇu pŏl̤ŏ,lɦokəɳu poɭo,iron laddle,இரும்புக் கரண்டி   
ꢭꢴꣁꢒꢠꢸ ꢪꢸꢱꢳ꣄,ल्हा॑गणुमुसळ्,லொ:க3ணுமுஸள்,lho'kanu musal',lhOkaNu musaL,lhŏkaṇu musal̤,lɦokəɳu mus̪əɭ,iron pestle,இரும்புலக்கை  
ꢪꢸꢗꢭ꣄,मुचल्,முஸள்,muchal,mucal,mucal,mut͡ʃəl,pestle,உலக்கை  
ꢱꢶꢒꣁ,सिका॑,ஸிகொ,siko',sikO,sikŏ,s̪ɪko,pot hanger,உறி  
ꢮꢶꢱ꣄ꢡꢮ꣄,विस्तव्,விஸ்தவ்,vistav,vistav,vistav,ʋɪs̪t̪əʋ,cinder,கங்கு  
