Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢤꢬ꣄ꢪ ꢦꢸꢱ꣄ꢡꢮ꣄,धर्म पुस्तव,த4ர்ம புஸ்தவ்,dharma pustav,dharma pustav,dharma pustav,d̪ʰəɾmə pus̪t̪əʋ,moral literature,அறநூல்  
ꢤꢬ꣄ꢪꣁ,धर्मा॑,த4ர்மொ,dharmo',dharmO,dharmŏ,d̪ʰəɾmo,moral,அறம்  
ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄,सुवत्तान,ஸுவத்தான்,suvattaan,suvattAn,suvattān,s̪uʋət̪t̪ɑːn̪,moral sayings,அறவுரைகள்  
ꢥꢷꢡꢶ ꢆꢒ꣄ꢡꢶꢥ꣄,नीति  उक्तिन,நீதி உக்தின்,neeti uktin,nIti uktin,nīti uktin,n̪iːt̪ɪ ukt̪ɪn̪,moral sayings,அறவுரைகள்  
ꢗꣁꢒ꣄ ꢮꢵꢗꢸꢥ꣄,चा॑क्वाचुन,சொக்வாசுன்,cho'k vaachun,cOk vAcun,cŏk vācun,t͡ʃok ʋɑːt͡ʃun̪,moral sayings,அறவுரைகள்  
ꢤꢾꢬꢸꢪꢸ ꢮꢡ꣄ꢡꢵꢥ꣄,ध॑रुमु वत्तान,தெ4ருமு வத்தான்,dhe'rumu vattaan,dhErumu vattAn,dhĕrumu vattān,d̪ʰeɾumu ʋət̪t̪ɑːn̪,moral sayings,அறவுரைகள்  
ꢲꢶꢡ ꢮꢵꢗꢸꢥ꣄,हित वाचुन,ஹித வாசுன்,hita vaachun,hita vAcun,hita vācun,ɦɪt̪ə ʋɑːt͡ʃun̪,moral sayings,அறவுரைகள்  
ꢄꢡꢶꢲꢵꢱ꣄,इतिहास,இதிஹாஸ்,itihaas,itihAs,itihās,ɪt̪ɪɦɑːs̪,epic,இதிகாசம்  
ꢱꢛ꣄ꢗꢭꢥꣁ,सञ्चलना॑,ஸஞ்சலனொ,sanchalano',saJcalanO,sañcalanŏ,s̪əɲt͡ʃələn̪o,movement,இயக்கம்  
ꢂꢤ꣄ꢫꢵꢫ꣄,अध्याय,அத்4யாய்,adhyaay,adhyAy,adhyāy,əd̪ʰjɑːj,chapter,இயல்  
ꢕꢾꢬꢸ ꢤꢾꢬꢸꢪ꣄,घेरु ध॑रुम,கே4ரு தெ4ரும்,ghe'ru dhe'rum,ghEru dhErum,ghĕru dhĕrum,gʰeɾu d̪ʰeɾum,family life,இல்லறம்  
ꢱꢵꢲꢶꢡ꣄ꢫꢱꢵꢱ꣄ꢡꢬ꣄,साहिय सास्तर,ஸாஹித்ய ஸாஸ்தர்,saahityasaastar,sAhityasAstar,sāhityasāstar,s̪ɑːɦɪt̪jəs̪ɑːs̪t̪əɾ,literary theory,இலக்கியக் கொள்கை   
ꢂꢭꢖ꣄ꢒꢵꢬꢸ ꢱꢵꢱ꣄ꢡꢬ꣄,अलङ्कारु सास्तर,அலங்காரு ஸாஸ்தர்,alankaaru saastar,alaGkAru sAstar,alaṅkāru sāstar,ələŋkɑːɾu s̪ɑːs̪t̪əɾ,literary theory,இலக்கியக் கொள்கை   
ꢱꢵꢲꢶꢡ꣄ꢫꢸ,साहित्यु,ஸாஹித்யு,saahityu,sAhityu,sāhityu,s̪ɑːɦɪt̪ju,literature,இலக்கியம்  
ꢦ꣄ꢬꢾꢮ꣄,प्रेव,ப்ரேவ்,pre'v,prEv,prĕv,pɾeʋ,love,இன்பம்  
ꢦ꣄ꢬꢾꢪꣁ,प्रेमा॑,ப்ரேமொ,pre'mo',prEmO,prĕmŏ,pɾemo,love,இன்பம்  
ꢱꢾꢬ ꢤꢪꢶꢥꢶ,स॑र धमिनि,ஸெரத4மினி,se'ra dhamini,sEra dhamini,sĕra dhamini,s̪eɾə d̪ʰəmɪn̪ɪ,elopement,உடன் போக்கு   
ꢱꢲ ꢦꢭꢵꢫꢥꣁ,सह पलायना॑,ஸஹபலாயனொ,saha palaayano',saha palAyanO,saha palāyanŏ,s̪əɦə pəlɑːjən̪o,elopement,உடன் போக்கு   
ꢱꢲ ꢔꢪꢥꣁ,सह गमना॑,ஸஹக3மனொ,saha gamano',saha gamanO,saha gamanŏ,s̪əɦə gəmən̪o,elopement,உடன் போக்கு   
ꢮ꣄ꢫꢵꢓ꣄ꢫꢵꢥ꣄,व्याख्यान,வ்யாக்2யான்,vyaakhyaan,vyAkhyAn,vyākhyān,ʋjɑːkʰjɑːn̪,commentary,உரை  
ꢮꢗꢥ ꢱꣀꢭꢶ,वचन सैलि,வசன ஸைலி,vachana saili,vacana saili,vacana saili,ʋət͡ʃən̪ə s̪əɪlɪ,prose style,உரை நடை   
ꢔꢣ꣄ꢫꣁ,गद्या॑,க3த்3யொ,gadyo',gadyO,gadyŏ,gəd̪jo,prose style,உரை நடை   
ꢡꢵꢞꢶꢦꢵꢥꢸꢥ꣄,ताडिपानुन,தாடி3பானுன்,taad'ipaanun,tADipAnun,tāḍipānun,t̪ɑːɖɪpɑːn̪un̪,palm leaf manuscript,ஏடுகள்  
ꢮꢶꢫꢵꢱ꣄,वियास,வியாஸ்,viyaas,viyAs,viyās,ʋɪjɑːs̪,essay,கட்டுரை  
ꢣꢾꢮꢸ ꢱ꣄ꢡꢶꢡꢶ,देवु स्तिति,தே3வுஸ்துதி,de'vu stiti,dEvu stiti,dĕvu stiti,d̪eʋu s̪t̪ɪt̪ɪ,invocation,கடவுள் வாழ்த்து   
ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢤꢸ ꢱꢣꢱ꣄,सिद्दान्धु सदस,ஸித்3தா3ந்து4 ஸத3ஸ்,siddaandhu sadas,siddAndhu sadas,siddāndhu sadas,s̪ɪd̪d̪ɑːn̪d̪ʰu s̪əd̪əs̪,seminar,கருத்தரங்கம்  
ꢒꢮꢶ,कवि,கவி,kavi,kavi,kavi,kəʋɪ,poet,கவிஞர்  
ꢒꢮꢶꢡꣁ,कवितो,கவிதொ,kavito',kavitO,kavitŏ,kəʋɪt̪o,poem,கவிதை  
ꢗꢖ꣄ꢔꢪ꣄,चङगम्,ஸங்க3ம்,changam,caGgam,caṅgam,t͡ʃəŋgəm,academy,கழகம்  
ꢪꢠ꣄ꢞꢭ꣄,मण्डल,மண்ட3ல்,mand'al,maNDal,maṇḍal,məɳɖəl,academy,கழகம்  
ꢦ꣄ꢬꢾꢮꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,प्रेवु जिव्नम,ப்ரேவு ஜிவ்னம்,pre'vu jivnam,prEvu jivnam,prĕvu jivnam,pɾeʋu d͡ʒɪʋn̪əm,love life,களவு வாழ்க்கை   
ꢤꢾꢬꢸꢪꢸ ꢙꢶꢮ꣄ꢥꢪ꣄,धेरुमु जिव्नम,தெ4ருமு ஜிவ்னம்,dhe'rumu jivnam,dhErumu jivnam,dhĕrumu jivnam,d̪ʰeɾumu d͡ʒɪʋn̪əm,chaste life,கற்பு வாழ்க்கை   
ꢂꢤ꣄ꢫꢵꢫꢸ,अध्यायु,அத்4யாயு,adhyaayu,adhyAyu,adhyāyu,əd̪ʰjɑːju,section,காதை  
