Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,angeekaar,aGgIkAr,aṅgīkār,əŋgiːkɑːɾ,recognition,அங்கீகாரம்  
ꢂꢗ꣄ꢗꢸ,अच्चु,அச்சு,achchu,accu,accu,ət͡ʃt͡ʃu,axis,அச்சு  
ꢜꢖ꣄ꢒꢸ,टङ्कु,டங்கு,t'anku,TaGku,ṭaṅku,ʈəŋku,axis,அச்சு  
ꢦꢡ꣄ꢬꢮꢵꢲꢶꢥꢶ,पत्रवाहिनि,பத்ரவாஹினி,patravaahini,patravAhini,patravāhini,pət̪ɾəʋɑːɦɪn̪ɪ,post,அஞ்சல்  
ꢦꢡ꣄ꢬꢮꢵꢲꢒꣁ,पत्रवाहका॑,பத்ரவாஹகொ,patravaahako',patravAhakO,patravāhakŏ,pət̪ɾəʋɑːɦəko,postman,அஞ்சல்காரர்  
ꢦꢡ꣄ꢬꢮꢵꢲꣁ,पत्रवाहा॑,பத்ரவாஹொ,patravaaho',patravAhO,patravāhŏ,pət̪ɾəʋɑːɦo,postman,அஞ்சல்காரர்  
ꢭꢿꢓꢸꢮꢵꢥ꣄,लेखुवान,லேகு2வான்,lekhuvaan,lekhuvAn,lekhuvān,leːkʰuʋɑːn̪,postman,அஞ்சல்காரர்  
ꢦꢡ꣄ꢬꢮꢵꢲ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,पत्रवाह कार्यालया॑,பத்ரவாஹ கார்யாலயொ,patravaaha kaaryaalayo',patravAha kAryAlayO,patravāha kāryālayŏ,pət̪ɾəʋɑːɦə kɑːɾjɑːləjo,post office,அஞ்சலகம்  
ꢒꣂꢰ꣄ꢜꢸ,कोष्टु,கோஷ்டு,kosht'u,koSTu,koṣṭu,koːʂʈu,"table, schedule",அட்டவணை  
ꢆꢞ꣄ꢔꢞ꣄ꢠꢶ,उड्गड्णि,உட்3க3ட்3ணி,ud'gad'ni,uDgaDNi,uḍgaḍṇi,uɖgəɖɳɪ,oppression,அடக்குமுறை  
ꢣꢪꢥꣁ,दमना॑,த3மனொ,damano',damanO,damanŏ,d̪əmən̪o,oppression,அடக்குமுறை  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,kudo',kudO,kudŏ,kud̪o,pawn,அடகு  
ꢒꢸꢣꣁ,कुदा॑,குதொ3,kudo',kudO,kudŏ,kud̪o,mortgage,அடமானம்  
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,खाल्दळ,கா2ல்த3ள்,khaaldal' khaalde'l'am,khAldaL khAldELam,khāldal̤ khāldĕl̤am,kʰɑːld̪əɭ kʰɑːld̪eɭəm,basement,அடித்தளம்
ꢓꢵꢭ꣄ꢣꢳ꣄ ꢓꢵꢭ꣄ꢣꢾꢳꢪ꣄,खाद॑ळम्,கா2ல்தொ3ளம்,khaaldal' khaalde'l'am,khAldaL khAldELam,khāldal̤ khāldĕl̤am,kʰɑːld̪əɭ kʰɑːld̪eɭəm,basement,அடித்தளம்
ꢃꢤꢵꢬꢸ ꢨꢵꢡ꣄ꢫꢡꣁ,आधारु बाद्यता॑,ஆதா4ரு பா3த்யதொ,aadhaaru baatyato',AdhAru bAtyatO,ādhāru bātyatŏ,ɑːd̪ʰɑːɾu bɑːt̪jət̪o,fundamental right,அடிப்படையுரிமை   
ꢱ꣄ꢬꢿꢠꢶꢗꢵꢭ꣄,स्रेणिचाल,ஸ்ரேணிசால்,srenichaal,sreNicAl,sreṇicāl,s̪ɾeːɳɪt͡ʃɑːl,parade,அணிவகுப்பு  
ꢂꢡ꣄ꢒꢫꢵꢬ꣄,अत्क्यार्,அத்க்யார்,atkayaar,atkayAr,atkayār,ət̪kəjɑːɾ,"power, authority",அதிகாரம்  
ꢂꢡ꣄ꢒ꣄ꢫꢵꢬꢶ,अत्क्यारि,அத்க்யாரி,atkyaari,atkyAri,atkyāri,ət̪kjɑːɾɪ,officer,அதிகாரி  
ꢪꢥ꣄ꢡ꣄ꢬꢶ ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,मन्त्रि कार्यालया॑,மந்த்ரிகார்யாலயொ,mantri kaaryaalayo',mantri kAryAlayO,mantri kāryālayŏ,mən̪t̪ɾɪ kɑːɾjɑːləjo,ministry,அமைச்சகம்  
ꢪꢥ꣄ꢡ꣄ꢬꢶ,मन्त्रि,மந்த்ரி,mantri,mantri,mantri,mən̪t̪ɾɪ,minister,அமைச்சர்  
ꢂꢪꢵꢡ꣄ꢫꣁ,अमात्या॑,அமாத்யொ,amaatyo',amAtyO,amātyŏ,əmɑːt̪jo,minister,அமைச்சர்  
ꢪꢥ꣄ꢡ꣄ꢬꢶꢱꢨꣁ,मन्त्रिसबा॑,மந்த்ரிஸபொ3,mantrisabo',mantrisabO,mantrisabŏ,mən̪t̪ɾɪs̪əbo,cabinet,அமைச்சரவை  
ꢯꢵꢥ꣄ꢡꢶ,शान्ति,ஶாந்தி,shaanti,zAnti,śānti,ʃɑːn̪t̪ɪ,peace,அமைதி  
