Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢪꢷ,मी,மீ,mee,mI,mī,miː,I,நான்  
ꢂꢪꢶ,अमि,அமி,ami,ami,ami,əmɪ,we,நாம்
ꢂꢪꢶ,अमि,அமி,ami,ami,ami,əmɪ,we,நாங்கள்
ꢡꢹ,तू,தூ,too,tU,tū,t̪uː,you,நீ
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you,நீர்
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you,நீவீர்
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,you,நீங்கள்
ꢌꢥꣁ,ए॑ना॑,எனொ,e'no',EnO,ĕnŏ,en̪o,he,இவன்
ꢄꢥꣁ,इना॑,இனொ,ino',inO,inŏ,ɪn̪o,she,இவள்
ꢌꢥꢸ,एनु,எனு,e'nu,Enu,ĕnu,en̪u,he,இவர்
ꢌꢥꢸ,एनु,எனு,e'nu,Enu,ĕnu,en̪u,they,இவர்கள்
ꢌꢭ꣄ꢫꣁ,एल्या॑,எல்யொ,e'lyo',ElyO,ĕlyŏ,eljo,it,இது
ꢌꢭ꣄ꢫꢾ,एल्ये,எல்யெ,e'lye',ElyE,ĕlyĕ,elje,they,இவை
ꢡꢾꢥꣁ,त॑ना॑,தெனொ,te'no',tEnO,tĕnŏ,t̪en̪o,he,அவன்
ꢡꢶꢥꣁ,तिना॑,தினொ,tino',tinO,tinŏ,t̪ɪn̪o,she,அவள்
ꢡ꣄ꢫꣁ,त्या॑,த்யொ,tyo',tyO,tyŏ,t̪jo,it,அது
ꢡ꣄ꢫꢾ,त्य॑,த்யெ,tye',tyE,tyĕ,t̪je,they,அவை
ꢂꢦꢸꢭ꣄,अपुल,அபுல்,apul,apul,apul,əpul,reflexive,தான்
ꢂꢦ꣄ꢭꢵꢥ꣄,अप्लान्,அப்லான்,aplaan,aplAn,aplān,əplɑːn̪,reflexive,தாம்
ꢡꢸꢪꢶ,तुमि,துமி,tumi,tumi,tumi,t̪umɪ,reflexive you,தாங்கள்
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,he,எவன்
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,she,எவள்
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,he,எவர்
ꢒꣂꢥ꣄ꢒꣂꢥ꣄,कोन् कोन्,கோன்கோன்,konkon,konkon,konkon,koːn̪koːn̪,they,எவர்கள்
ꢒꣂꢥꢾ,कोन॑,கோனெ,kone',konE,konĕ,koːn̪e,which,எது  
ꢒꣂꢥ꣄ꢫꢾ,कोन्य॑,கோன்யெ,konye',konyE,konyĕ,koːn̪je,which,எது  
ꢒꣂꢥꢾ,कोन॑,கோனெ,kone',konE,konĕ,koːn̪e,which,எவை
ꢒꣂꢥ꣄ꢫꣁ,कोन्या॑,கோன்யொ,konyo',konyO,konyŏ,koːn̪jo,which,எவை
ꢒꣂꢥ꣄,कोन्,கோன்,kon,kon,kon,koːn̪,who,யார்  
