Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢯꢬꢷꢬꢶ,अशरीरि,அஶரீரி,ashareeri,azarIri,aśarīri,əʃəɾiːɾɪ,celestial voice/ oracle,அசரீரி  
ꢣꢵꢱꢸꢥ꣄,दासुन,தா3ஸுன்,daasun,dAsun,dāsun,d̪ɑːs̪un̪,disciples,அடியார்  
ꢂꢩꢶꢰꢿꢒ꣄ ,अभिषेक्,அபி4ஷேக்,abhishek,abhiSek,abhiṣek,əbʰɪʂeːk,"bathing the holy idol with milk, honey, fruit, etc.",அபிஷேகம்  
ꢂꢬ꣄ꢗꢥꣁ,अर्चना॑,அர்சனொ,archano',arcanO,arcanŏ,əɾt͡ʃən̪o,Worship with chanting,அர்ச்சனை 
ꢒꢺꢦꣁ,कृपा॑,க்ருபொ,kri'po',kRpO,kṛpŏ,kɾɨpo,grace,அருள்  
ꢂꢮ꣄ꢡꢵꢬ꣄,अव्तार्,அவ்தார்,avtaar,avtAr,avtār,əʋt̪ɑːɾ,incarnation,அவதாரம்  
ꢃꢱꢶꢰ꣄,आसिष्,ஆஸிஷ்,aasish,AsiS,āsiṣ,ɑːs̪ɪʂ,blessing,அனுக்கிரகம்/ஆசிர்வாதம்
ꢃꢱꢷꢬ꣄ꢮꢵꢡ꣄,आसीर्वात्,ஆஸீர்வாத்,aaseervaat,AsIrvAt,āsīrvāt,ɑːs̪iːɾʋɑːt̪,blessing,அனுக்கிரகம்/ஆசிர்வாதம்
ꢃꢱ꣄ꢬꢪꣁ,आस्रमा॑,ஆஸ்ரமொ,aasramo',AsramO,āsramŏ,ɑːs̪ɾəmo,"hermitage, monastery",ஆசிரமம்  
ꢣꢿꢮ꣄,देव्,தே3வ்,dev,dev,dev,d̪eːʋ,God,ஆண்டவன்  
ꢩꢔꢮꢵꢥ꣄,भगवान्,ப4க3வான்,bhagavaan,bhagavAn,bhagavān,bʰəgəʋɑːn̪,God,ஆண்டவன்  
ꢃꢬꢵꢤꢥꣁ,आराधना॑,ஆராத4னொ,aaraadhano',ArAdhanO,ārādhanŏ,ɑːɾɑːd̪ʰən̪o,worship,ஆராதனை  
ꢣꢮ꣄ꢬꣁ,दब्रा॑,த4வ்ரொ,davro',davrO,davrŏ,d̪əʋɾo,temple,ஆலயம்  
ꢪꢥ꣄ꢣꢶꢬ꣄,मन्दिर,மந்தி3ர்,mandir,mandir,mandir,mən̪d̪ɪɾ,temple,ஆலயம்  
ꢃꢡ꣄ꢪꣁ,आत्मा॑,ஆத்மொ,aatmo',AtmO,ātmŏ,ɑːt̪mo,soul,ஆன்மா  
ꢩꢒ꣄ꢡꢶ ꢪꢵꢬ꣄ꢔꢸ,भक्ति मार्गु,ப4க்தி மார்கு3,bhakti maargu,bhakti mArgu,bhakti mārgu,bʰəkt̪ɪ mɑːɾgu,sprituality,ஆன்மீகம்  
ꢃꢱ꣄ꢡꢶꢒ꣄,आस्तिक,ஆஸ்திக்,aastik,Astik,āstik,ɑːs̪t̪ɪk,theism,ஆஸ்திகம்  
ꢡꢸꢞꢶꢫꢵꢥꢸ ꢪꢵꢬ꣄ꢔꢸ,तुडियानु मार्गु,துடி3யானு மார்கு3,tud'iyaanu maargu,tuDiyAnu mArgu,tuḍiyānu mārgu,t̪uɖɪjɑːn̪u mɑːɾgu,Islam,இசுலாம்  
ꢲꢶꢥ꣄ꢣꢸ,हिन्दु,ஹிந்து3,hindu,hindu,hindu,ɦɪn̪d̪u,Hindu,இந்து  
ꢣꢿꢮꢸ ꢩꢒ꣄ꢡꢶ,देवु भक्ति,தே3வுப4க்தி,devu bhakti,devu bhakti,devu bhakti,d̪eːʋu bʰəkt̪ɪ,devotion,இறையுணர்வு  
ꢣꢾꢮ꣄,देव्,தே3வ்,de'v,dEv,dĕv,d̪eʋ,God,இறைவன்  
ꢅꢯꣁ,ईशा॑,ஈஶொ,eesho',IzO,īśŏ,iːʃo,God Shiva,ஈசுவரன்  
ꢅꢯ꣄ꢦꢸꢬꢸ,ईश्पुरु,ஈஶ்புரு,eeshpuru,Izpuru,īśpuru,iːʃpuɾu,God Shiva,ஈசுவரன்  
ꢲꢸꢠ꣄ꢞꢶ,हुण्डि,ஹுண்டி3,hund'i,huNDi,huṇḍi,ɦuɳɖɪ,hundi,உண்டி  / உண்டியல்  
