Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢣꣁꢨ꣄ꢨꢶ,दा॑ब्बि,தொ3ப்3பி3,do'bbi,dObbi,dŏbbi,d̪obbɪ,keepwide,அகட்டு
ꢙꢵ,जा,ஜா,jaa,jA,jā,d͡ʒɑː,go away,அகல்
ꢒꢹꢔ꣄,कूग,கூக்3,koog,kUg,kūg,kuːg,cock,அகவு
ꢲꢿꢜ꣄,हेट्,ஹேட்,het',heT,heṭ,ɦeːʈ,"remove, separate",அகற்று
ꢂꢖ꣄ꢔꢶꢒꢵꢬ꣄,अङ꣄किकार्,அங்கி3கார்,angikaar,aGgikAr,aṅgikār,əŋgɪkɑːɾ,recognize,அங்கீகரி
ꢲꢭ꣄ꢭꢵꢜ꣄,हल्लाट्,ஹல்லாட்,hallaat',hallAT,hallāṭ,ɦəllɑːʈ,to move,அசை
ꢤꢵꢒ꣄,धाक्,தா4க்,dhaak,dhAk,dhāk,d̪ʰɑːk,fear,அஞ்சு
ꢆꢜ꣄ꢔꢵꢜ꣄,उट्गाट्,உட்3கா3ட்,ut'gaat',uTgAT,uṭgāṭ,uʈgɑːʈ,subdue,அடக்கு
ꢆꢜ꣄ꢔꢶ,उट्गि,உட்3கி3,ut'gi,uTgi,uṭgi,uʈgɪ,to be subdued,அடங்கு
ꢲꢵꢥ꣄,हान्,ஹான்,haan,hAn,hān,ɦɑːn̪,beat,அடி
ꢭꢥ꣄ꢣꢶ,लन्दि,லந்தி3,landi,landi,landi,lən̪d̪ɪ,approach,அடு
ꢱꢾꢥ꣄ꢡꢶ,स॑न्ति,ஸெந்தி,se'nti,sEnti,sĕnti,s̪en̪t̪ɪ,arrange,அடுக்கு
ꢙꢷ ꢗꢿꢬ꣄,जी चेर्,ஜீசேர்,jee cher,jI cer,jī cer,d͡ʒiː t͡ʃeːɾ,To reach,அடை
ꢚꢵꢔꢶ,झागि,ஜா2கி3,jhaagi,jhAgi,jhāgi,d͡ʒʰɑːgɪ,close,அடை
ꢆꢛBꢗꣁ ꢱꢵ,उञ꣄चा॑ सा,உஞ்சொ ஸா,unyaBcho' saa,uJaBcO sA,uñaBcŏ sā,uɲəBt͡ʃo s̪ɑː,see up,அண்ணார்
ꢕꢭ꣄ꢭꢾ,घल्ले,க4ல்லே,ghalle',ghallE,ghallĕ,gʰəlle,wear,அணி
ꢧꢶꢬ꣄ꢭꢾ,फिर्ले,பி2ர்லே,phirle',phirlE,phirlĕ,pʰɪɾle,wear,அணி
ꢪꢴꢮ꣄ꢭꢫꢶ ꢙꢵ,म्हव्लयि जा,ம:வ்லயி ஜா,mhavlayi jaa,mhavlayi jA,mhavlayi jā,mɦəʋləjɪ d͡ʒɑː,be extinguished,அணை
ꢪꢴꣃꢭꢶ,म्हौलि,மௌ:லி,mhauli,mhauli,mhauli,mɦəulɪ,extinguish,அணை
ꢒꢨꢶꢭ꣄ꢭꢾ,कबिल्ले,கபி3ல்லே,kabille',kabillE,kabillĕ,kəbɪlle,embrace,அணை
ꢭꢾꢔꢸꢡ꣄ꢡ ꢙꢵ,ल॑गुत्त जा,லெகு3த்த ஜா,le'gutta jaa,lEgutta jA,lĕgutta jā,legut̪t̪ə d͡ʒɑː,approach,அணுகு
ꢦꢬ꣄ꢮꢒꢿꢬ꣄,पर्वकेर,பர்வகேர்,parvaker,parvaker,parvaker,pəɾʋəkeːɾ,rebuke,அதட்டு
ꢮꢿꢥ꣄ ꢒꢿꢬ꣄,वेनकेर,வேன்கேர்,ven ker,ven ker,ven ker,ʋeːn̪ keːɾ,increase,அதிகரி
ꢃꢗ꣄ꢗꢬ꣄ꢫꢸꢦꣂꢜ꣄,आच्चयुपोट्,ஆஶ்சர்யுபோட்,aachcharyupot',AccaryupoT,āccaryupoṭ,ɑːt͡ʃt͡ʃəɾjupoːʈ,wonder,அதிசயி
ꢂꢣꢶꢬ꣄,अदिर,அதி3ர்,adir,adir,adir,əd̪ɪɾ,tremble,அதிர்
ꢂꢦ꣄ꢦꢶꢭꢾ,अप्पिले,அப்பிலே,appile',appilE,appilĕ,əppɪle,apply like a paste,அப்பு
ꢚꢾꢜ꣄ꢦꢶꢭꢾ,झेट्पिले,ஜெ2ட்பிலே,jhe't'pile',jhETpilE,jhĕṭpilĕ,d͡ʒʰeʈpɪle,steal,அபகரி
ꢱꣃꢔꢭ ꢒꢿꢬ꣄,सैगनकेर,ஸைக3னகேர்,saugala ker,saugala ker,saugala ker,s̪əugələ keːɾ,gesticulate,அபிநயி
ꢨꢷꢱ꣄,बीस्,பீ3ஸ்,bees,bIs,bīs,biːs̪,sit,அமர்
ꢨꢹꢜ꣄,बूट,பூ3ட்,boot',bUT,būṭ,buːʈ,be immersed,அமிழ்
ꢨꢸꢣꢵꢜ꣄,बुडाट्,பு3டா3ட்,budaat',budAT,budāṭ,bud̪ɑːʈ,immerse,அமிழ்த்து
