Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢏꢥ꣄ꢥꣁ,आ॑न्ना॑,ஒன்னொ,o'nno',OnnO,ŏnnŏ,on̪n̪o,beans,அவரைக்காய்
ꢂꢭ꣄ꢭꣁ,अल्ला॑,அல்லொ,allo',allO,allŏ,əllo,ginger,இஞ்சி
ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄,धुरुळु मूळ,து4ருளு மூள்,dhurul'u mool',dhuruLu mUL,dhurul̤u mūl̤,d̪ʰuɾuɭu muːɭ,potato,உருளைக்கிழங்கு
ꢮꢖ꣄ꢔꢶ,वङ्गि,வங்கி3,vangi,vaGgi,vaṅgi,ʋəŋgɪ,brinjal,கத்திரிக்காய்
ꢒꣀꢭꢒꢾꢱꢸꢬ꣄,कैलक॑सुर,கைலகெஸுர்,kailake'sur,kailakEsur,kailakĕsur,kəɪləkes̪uɾ,vegetable,காய்கறி
ꢩꢙ꣄ꢙꢶ,भज्जि,ப4ஜ்ஜி,bhajji,bhajji,bhajji,bʰəd͡ʒd͡ʒɪ,greens,கீரை
ꢪꣁꢳ꣄꣄ꢒꢳ꣄꣄,मा॑ळ्कळ,மொள்கள்,mo'l'kal',mOLkaL,mŏl̤kal̤,moɭkəɭ,ama ranthus,கீரைத்தண்டு  
ꢤꢾꢫꢳꣁ,धेय्ळा॑,தெ4ய்ளொ(N,dhe'yal'o',dhEyaLO,dhĕyal̤ŏ,d̪ʰejəɭo,ama ranthus,கீரைத்தண்டு  
ꢒꢵꢬꢜ꣄,कारट्,காரட்,kaarat',kAraT,kāraṭ,kɑːɾəʈ,carrot,கேரட்
ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ,जिन्नवर॑,ஜின்னவ்ரெ,jinnavre',jinnavrE,jinnavrĕ,d͡ʒɪn̪n̪əʋɾe,cluster beans,கொத்தவரைக்காய்
ꢤꢥꢶꢫꣁ,धनिया॑,த4னியொ,dhaniyo',dhaniyO,dhaniyŏ,d̪ʰən̪ɪjo,coriander leaves,கொத்துமல்லிக் கீரை
